post_id,data_publicacao,texto,toxicity_score
PA000001,2022-12-26 02:19:19,"Meditacao de manha, comecando o dia muito bem.",0.1293
PA000002,2022-12-26 03:04:29,"Sopa de legumes no frio, reconfortante e gostosa.",0.1291
PA000003,2022-12-26 03:56:59,Pedalada de tarde com vista incrivel do parque.,0.0403
PA000004,2022-12-26 06:38:47,"Meditacao de manha, comecando o dia muito bem.",0.1552
PA000005,2022-12-26 08:13:01,Show ao vivo incrivel no fim de semana.,0.1825
PA000006,2022-12-26 09:30:20,"Maratonei a temporada completa, valeu cada minuto.",0.078
PA000007,2022-12-26 09:32:04,"Musica nova do meu artista favorito, de outro nivel.",0.1414
PA000008,2022-12-26 09:55:07,"Passei na certificacao, muito feliz com o resultado.",0.0987
PA000009,2022-12-26 11:26:38,"Home office com cafe fresquinho do lado, otimo.",0.106
PA000010,2022-12-26 12:00:26,"Apresentacao correu muito bem, todos gostaram.",0.0917
PA000011,2022-12-26 14:46:20,"Minha mae fez feijao com arroz e linguica, classico perfeito.",0.0987
PA000012,2022-12-26 15:34:01,"Meu time ganhou hoje, que jogo bonito foi.",0.0678
PA000013,2022-12-26 16:34:38,"Natacao de manha, melhor inicio de dia possivel.",0.0799
PA000014,2022-12-26 17:40:28,"Natacao de manha, melhor inicio de dia possivel.",0.0
PA000015,2022-12-26 18:48:14,"Consegui estacionamento logo de cara, dia de sorte mesmo.",0.0894
PA000016,2022-12-26 20:18:02,Terminei o trabalho da faculdade com antecedencia.,0.1501
PA000017,2022-12-26 21:23:36,App de produtividade novo que encontrei e otimo.,0.1172
PA000018,2022-12-26 22:36:18,Que tarde relaxante lendo na rede.,0.1501
PA000019,2022-12-26 22:48:38,Que manha fresca e agradavel para uma caminhada.,0.1709
PA000020,2022-12-26 22:56:01,Nao consigo entender como essa situacao ainda nao mudou.,0.7874
PA000021,2022-12-26 22:56:20,App de produtividade novo que encontrei e otimo.,0.0127
PA000022,2022-12-27 01:31:00,Pedalada de tarde com vista incrivel do parque.,0.1001
PA000023,2022-12-27 02:53:26,Cafe da manha caprichado: tapioca com ovo e suco de laranja.,0.1214
PA000024,2022-12-27 03:00:03,"Serie nova incrivel, amei o primeiro episodio.",0.0366
PA000025,2022-12-27 03:54:11,Brigadeiro de panela saiu incrivel hoje.,0.1193
PA000026,2022-12-27 04:34:32,"Volei com os amigos, muita risada e diversao.",0.0814
PA000027,2022-12-27 05:23:48,"Choveu a tarde toda, dia perfeito pra ficar em casa lendo.",0.0
PA000028,2022-12-27 07:19:47,"Padaria da esquina lancou sabor novo, recomendo.",0.0234
PA000029,2022-12-27 08:44:24,"Maratonei a temporada completa, valeu cada minuto.",0.089
PA000030,2022-12-27 09:52:42,Semana intensa mas muito satisfatoria no trabalho.,0.1227
PA000031,2022-12-27 09:56:09,"O outono chegou cedo esse ano, que frio gostoso de manha.",0.0585
PA000032,2022-12-27 10:34:40,"Pausa pro cafe com os colegas, bate-papo otimo.",0.0782
PA000033,2022-12-27 12:13:29,"Passeio no interior no fim de semana, natureza linda.",0.0569
PA000034,2022-12-27 12:18:11,Leitura no jardim com tempo agradavel.,0.113
PA000035,2022-12-27 12:48:28,"Cuidando das plantas em casa, muito terapeutico.",0.035
PA000036,2022-12-27 12:56:17,"Meu time ganhou hoje, que jogo bonito foi.",0.0712
PA000037,2022-12-27 13:00:51,"Apresentacao correu muito bem, todos gostaram.",0.0
PA000038,2022-12-27 13:34:23,"Reencontrei um amigo antigo por acaso, que alegria.",0.1061
PA000039,2022-12-27 13:47:00,"Reuniao produtiva hoje, saimos com otimas ideias.",0.0135
PA000040,2022-12-27 13:53:07,Leitura no jardim com tempo agradavel.,0.0173
PA000041,2022-12-27 14:08:37,Cafe da manha caprichado: tapioca com ovo e suco de laranja.,0.0397
