post_id,data_publicacao,texto,toxicity_score
PA000001,2022-12-26 00:09:14,"Meu time ganhou hoje, que jogo bonito foi.",0.22
PA000002,2022-12-26 00:34:07,"Fui de bike hoje, que exercicio agradavel de manha.",0.0
PA000003,2022-12-26 01:07:37,"Consegui estacionamento logo de cara, dia de sorte mesmo.",0.0975
PA000004,2022-12-26 02:03:35,"Livro excelente sobre ciencia de dados, recomendo muito.",0.1056
PA000005,2022-12-26 03:53:24,Jogo novo me viciou de um jeito bom.,0.1185
PA000006,2022-12-26 04:54:59,"Plantei temperos na sacada, que satisfacao.",0.0722
PA000007,2022-12-26 05:07:38,"Minha mae fez feijao com arroz e linguica, classico perfeito.",0.1744
PA000008,2022-12-26 07:27:03,"Trilha ecologica incrivel, natureza pura.",0.0922
PA000009,2022-12-26 08:45:59,"Onibus chegou no horario hoje, que surpresa agradavel.",0.0676
PA000010,2022-12-26 08:52:18,"Acai gelado essa tarde, refrescante demais.",0.0006
PA000011,2022-12-26 11:48:08,"Passeio com o cachorro no parque, ele adorou.",0.0984
PA000012,2022-12-26 12:43:22,"Fui num restaurante novo, a pizza estava espetacular.",0.1002
PA000013,2022-12-26 13:17:51,"Cuidando das plantas em casa, muito terapeutico.",0.1868
PA000014,2022-12-26 13:29:00,"Maratonei a temporada completa, valeu cada minuto.",0.0
PA000015,2022-12-26 14:02:03,"Plantei temperos na sacada, que satisfacao.",0.1282
PA000016,2022-12-26 14:27:46,Leitura no jardim com tempo agradavel.,0.1405
PA000017,2022-12-26 16:13:34,"Fui num restaurante novo, a pizza estava espetacular.",0.0213
PA000018,2022-12-26 16:15:45,"Chuva passageira a tarde, depois o tempo abriu lindo.",0.0665
PA000019,2022-12-26 17:05:25,"Passei na certificacao, muito feliz com o resultado.",0.0725
PA000020,2022-12-26 17:19:46,Show ao vivo incrivel no fim de semana.,0.0961
PA000021,2022-12-26 17:51:52,"Teatro incrivel ontem, peca muito bem dirigida.",0.0
PA000022,2022-12-26 18:16:50,Pedalada de tarde com vista incrivel do parque.,0.0
PA000023,2022-12-26 18:47:21,"Sopa de legumes no frio, reconfortante e gostosa.",0.0752
PA000024,2022-12-26 21:24:42,"Sopa de legumes no frio, reconfortante e gostosa.",0.0853
PA000025,2022-12-26 23:02:55,"Teatro incrivel ontem, peca muito bem dirigida.",0.0651
PA000026,2022-12-26 23:16:25,"Biblioteca da universidade, ambiente otimo para estudar.",0.0584
PA000027,2022-12-26 23:57:27,"Padaria da esquina lancou sabor novo, recomendo.",0.0154
PA000028,2022-12-27 00:03:40,"Consegui estacionamento logo de cara, dia de sorte mesmo.",0.0516
PA000029,2022-12-27 02:07:46,"Tarefa dificil concluida com sucesso, que satisfacao.",0.0431
PA000030,2022-12-27 02:53:30,"Chuva passageira a tarde, depois o tempo abriu lindo.",0.1129
PA000031,2022-12-27 07:17:49,"Cuidando das plantas em casa, muito terapeutico.",0.1683
PA000032,2022-12-27 07:47:26,"Reuniao produtiva hoje, saimos com otimas ideias.",0.0534
PA000033,2022-12-27 09:03:42,"Apresentacao correu muito bem, todos gostaram.",0.1149
PA000034,2022-12-27 12:26:45,Leitura no jardim com tempo agradavel.,0.0549
PA000035,2022-12-27 13:57:17,Atualizacao deixou o sistema muito mais rapido.,0.1142
PA000036,2022-12-27 14:07:16,"Yoga pela manha, comecei o dia muito bem.",0.0258
PA000037,2022-12-27 18:42:46,Cafe da manha caprichado: tapioca com ovo e suco de laranja.,0.1772
PA000038,2022-12-27 18:45:21,"Fui num restaurante novo, a pizza estava espetacular.",0.0835
PA000039,2022-12-27 19:56:11,Que manha fresca e agradavel para uma caminhada.,0.0854
PA000040,2022-12-27 20:30:01,"Estudando para a prova de amanha, bem concentrado.",0.112
PA000041,2022-12-27 21:09:37,"Academia hoje, treino puxado mas valeu muito.",0.0481
PA000042,2022-12-27 21:38:25,"Biblioteca da universidade, ambiente otimo para estudar.",0.1121
PA000043,2022-12-27 21:45:03,"Padaria da esquina lancou sabor novo, recomendo.",0.0335
PA000044,2022-12-27 22:22:10,"Trilha ecologica incrivel, natureza pura.",0.0356
PA000045,2022-12-28 00:44:28,Tarde produtiva organizando e limpando a casa.,0.025
PA000046,2022-12-28 01:13:52,"Fila do hospital andando devagar, sistema falido.",0.0069
PA000047,2022-12-28 01:21:18,"Yoga pela manha, comecei o dia muito bem.",0.0843
PA000048,2022-12-28 03:34:16,"Novo celular chegou, a camera e impressionante.",0.0943
PA000049,2022-12-28 06:11:28,"Novo celular chegou, a camera e impressionante.",0.0
PA000050,2022-12-28 07:28:47,"Apresentacao correu muito bem, todos gostaram.",0.0539
PA000051,2022-12-28 08:01:29,"Musica nova do meu artista favorito, de outro nivel.",0.0911
PA000052,2022-12-28 08:15:38,Semana intensa mas muito satisfatoria no trabalho.,0.1012
PA000053,2022-12-28 08:54:53,Podcast sobre tecnologia muito interessante.,0.0702
PA000054,2022-12-28 09:23:31,"Biblioteca da universidade, ambiente otimo para estudar.",0.0878
PA000055,2022-12-28 09:37:05,"Musica nova do meu artista favorito, de outro nivel.",0.1608
PA000056,2022-12-28 10:22:56,"Serie nova incrivel, amei o primeiro episodio.",0.1762
PA000057,2022-12-28 10:51:59,"Dia nublado mas tranquilo, bom para estudar sem distracao.",0.0822
PA000058,2022-12-28 11:18:54,Aplicativo de carona funcionou perfeitamente.,0.0413
PA000059,2022-12-28 12:01:47,"Sopa de legumes no frio, reconfortante e gostosa.",0.0242
PA000060,2022-12-28 13:16:34,Semana intensa mas muito satisfatoria no trabalho.,0.1429
PA000061,2022-12-28 15:17:38,"Yoga pela manha, comecei o dia muito bem.",0.0839
PA000062,2022-12-28 16:58:51,"Vento agradavel hoje, aproveitei para caminhar no parque.",0.1304
PA000063,2022-12-28 17:56:58,Caminhada ate a estacao foi otima hoje.,0.0682
PA000064,2022-12-28 19:46:31,Jogo novo me viciou de um jeito bom.,0.084
PA000065,2022-12-28 20:09:14,Feira de artesanato gostosa de passear.,0.0612
PA000066,2022-12-28 21:19:06,Grupo de estudos foi muito produtivo hoje.,0.0524
PA000067,2022-12-28 22:58:36,"Aprendi receita nova no youtube, ficou otimo.",0.1338
PA000068,2022-12-29 00:59:05,"Passeio com o cachorro no parque, ele adorou.",0.0811
PA000069,2022-12-29 01:20:41,"Governo aumentando imposto de novo, inacreditavel.",0.1475
PA000070,2022-12-29 01:33:46,Podcast sobre tecnologia muito interessante.,0.0805
PA000071,2022-12-29 01:41:56,"Que calor hoje, tive que ligar o ar condicionado logo cedo.",0.1054
