crime_id,data_ocorrencia,tipo_crime,municipio,estado,latitude,longitude
CR00001,2023-01-02 19:33:00,Ameaça,Nova Iguaçu,RJ,-22.784755,-43.462106
CR00002,2023-01-04 17:39:00,Ameaça,Rio de Janeiro,RJ,-22.974115,-43.186295
CR00003,2023-01-04 15:05:00,Perturbação da Paz,Duque de Caxias,RJ,-22.753866,-43.325649
CR00004,2023-01-07 09:16:00,Ameaça,Niterói,RJ,-22.934827,-43.149031
CR00005,2023-01-06 10:55:00,Lesão Corporal,Rio de Janeiro,RJ,-22.879181,-43.18999
CR00006,2023-01-07 17:24:00,Ameaça,Belford Roxo,RJ,-22.746129,-43.425677
CR00007,2023-01-01 07:46:00,Dano ao Patrimônio,Rio de Janeiro,RJ,-22.887321,-43.191676
CR00008,2023-01-07 08:29:00,Dano ao Patrimônio,Niterói,RJ,-22.857185,-43.107639
CR00009,2023-01-05 16:36:00,Lesão Corporal,Rio de Janeiro,RJ,-22.964684,-43.225808
CR00010,2023-01-03 21:29:00,Dano ao Patrimônio,Volta Redonda,RJ,-22.538127,-44.052931
CR00011,2023-01-02 18:47:00,Ameaça,Belford Roxo,RJ,-22.772618,-43.437201
CR00012,2023-01-01 13:42:00,Roubo,Campos dos Goytacazes,RJ,-21.737123,-41.314891
CR00013,2023-01-04 20:01:00,Injúria,Rio de Janeiro,RJ,-22.92798,-43.163593
CR00014,2023-01-08 15:05:00,Dano ao Patrimônio,Duque de Caxias,RJ,-22.82654,-43.304529
CR00015,2023-01-09 14:11:00,Lesão Corporal,Rio de Janeiro,RJ,-22.892525,-43.114368
CR00016,2023-01-13 08:17:00,Vias de Fato,Duque de Caxias,RJ,-22.801192,-43.366767
CR00017,2023-01-10 06:09:00,Vias de Fato,Duque de Caxias,RJ,-22.826223,-43.299159
CR00018,2023-01-09 14:40:00,Ameaça,Rio de Janeiro,RJ,-22.890224,-43.212482
CR00019,2023-01-13 10:57:00,Lesão Corporal,Niterói,RJ,-22.900414,-43.128184
CR00020,2023-01-10 20:00:00,Vias de Fato,Rio de Janeiro,RJ,-22.913145,-43.214326
CR00021,2023-01-12 17:07:00,Lesão Corporal,Rio de Janeiro,RJ,-22.895573,-43.102183
CR00022,2023-01-10 07:36:00,Vias de Fato,Belford Roxo,RJ,-22.811798,-43.437805
CR00023,2023-01-11 12:18:00,Injúria,Duque de Caxias,RJ,-22.75206,-43.347817
CR00024,2023-01-12 10:37:00,Perturbação da Paz,Volta Redonda,RJ,-22.524631,-44.131092
CR00025,2023-01-11 06:17:00,Ameaça,Rio de Janeiro,RJ,-22.957918,-43.165996
CR00026,2023-01-13 21:13:00,Vias de Fato,Belford Roxo,RJ,-22.752967,-43.34696
CR00027,2023-01-17 17:24:00,Lesão Corporal,Belford Roxo,RJ,-22.74725,-43.33777
