post_id,data_publicacao,texto,toxicity_score
PA000001,2022-12-26 03:49:51,"Natacao de manha, melhor inicio de dia possivel.",0.0622
PA000002,2022-12-26 13:53:55,"Estudando para a prova de amanha, bem concentrado.",0.0473
PA000003,2022-12-26 17:22:18,"Passei na certificacao, muito feliz com o resultado.",0.0337
PA000004,2022-12-27 00:16:48,"Reuniao produtiva hoje, saimos com otimas ideias.",0.0217
PA000005,2022-12-27 04:39:34,Brigadeiro de panela saiu incrivel hoje.,0.0289
PA000006,2022-12-28 07:25:00,"O outono chegou cedo esse ano, que frio gostoso de manha.",0.0108
PA000007,2022-12-28 10:16:26,"Tentei receita nova de bolo de cenoura, ficou fofinho.",0.1166
PA000008,2022-12-29 09:01:37,"O outono chegou cedo esse ano, que frio gostoso de manha.",0.0373
PA000009,2022-12-29 09:45:30,Aula incrivel sobre estatistica aplicada hoje.,0.0087
PA000010,2022-12-29 10:26:19,"Praia tranquila, sol perfeito, descanso total.",0.0061
PA000011,2022-12-29 10:59:25,"Minha mae fez feijao com arroz e linguica, classico perfeito.",0.045
PA000012,2022-12-30 01:37:05,Tarde produtiva organizando e limpando a casa.,0.0249
PA000013,2022-12-30 02:43:27,Terminei o trabalho da faculdade com antecedencia.,0.1764
PA000014,2022-12-30 03:16:25,"Cuidando das plantas em casa, muito terapeutico.",0.0892
PA000015,2022-12-31 11:29:58,"Tentei receita nova de bolo de cenoura, ficou fofinho.",0.0923
PA000016,2023-01-01 11:25:12,Estrangeiro que nao tem nem documento querendo se beneficiar do sistema publico sem contribuir Ate quando isso vai continuar?,0.9055
PA000017,2023-01-01 13:33:17,"Passeio com o cachorro no parque, ele adorou.",0.0786
PA000018,2023-01-01 17:02:16,"Sol lindo hoje, cafe na varanda foi otimo.",0.068
PA000019,2023-01-02 02:20:28,"Churrasco com a familia no final de semana, delicioso.",0.1128
PA000020,2023-01-02 02:59:47,Brigadeiro de panela saiu incrivel hoje.,0.0641
PA000021,2023-01-02 03:33:10,"Praia tranquila, sol perfeito, descanso total.",0.0165
PA000022,2023-01-02 04:10:35,"Academia hoje, treino puxado mas valeu muito.",0.1051
PA000023,2023-01-02 11:10:54,Gente de fora que nao foi convidada tomando emprego de brasileiro honesto Ate quando isso vai continuar?,0.9023
PA000024,2023-01-02 15:52:13,"Estudando para a prova de amanha, bem concentrado.",0.0816
PA000025,2023-01-02 17:41:12,"Trilha ecologica incrivel, natureza pura.",0.0521
PA000026,2023-01-02 17:47:26,"Estudando para a prova de amanha, bem concentrado.",0.0815
PA000027,2023-01-02 18:20:10,"Passei na certificacao, muito feliz com o resultado.",0.1115
PA000028,2023-01-02 19:24:08,Grupo de estudos foi muito produtivo hoje.,0.0433
PA000029,2023-01-02 20:28:04,Podcast sobre tecnologia muito interessante.,0.0597
PA000030,2023-01-02 20:37:23,Grupo de estudos foi muito produtivo hoje.,0.0624
PA000031,2023-01-02 20:47:26,"Onibus chegou no horario hoje, que surpresa agradavel.",0.0303
PA000032,2023-01-02 22:01:03,"Passei na certificacao, muito feliz com o resultado.",0.0
PA000033,2023-01-02 22:08:46,"Reuniao produtiva hoje, saimos com otimas ideias.",0.0977
PA000034,2023-01-02 23:34:37,"Reencontrei um amigo antigo por acaso, que alegria.",0.0965
PA000035,2023-01-03 00:10:13,"Fechei projeto importante essa semana, que alegria.",0.0937
PA000036,2023-01-03 00:10:29,Aula incrivel sobre estatistica aplicada hoje.,0.1364
PA000037,2023-01-03 00:33:25,Chega de invasao de explorando nosso sistema de saude e previdencia Ate quando isso vai continuar?,0.7056
PA000038,2023-01-03 01:45:06,Atualizacao deixou o sistema muito mais rapido.,0.12
PA000039,2023-01-03 01:48:25,"Que calor hoje, tive que ligar o ar condicionado logo cedo.",0.0397
PA000040,2023-01-03 03:48:33,"Onibus chegou no horario hoje, que surpresa agradavel.",0.0
PA000041,2023-01-03 06:07:01,Quem nao e daqui e quer mandar querendo se beneficiar do sistema publico sem contribuir Cansei desse descaso com quem nasceu aqui.,0.7347
PA000042,2023-01-03 09:00:03,Gente de fora que nao foi convidada sem qualquer respaldo legal querendo disputar espaco Nao vou ficar calado sobre isso.,0.7631
